time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,100,100,638.61,63861.0,1.021776,1.021776
1000.0,114,214,556.5526315789474,127308.0,1.018464,1.015152
1500.0,122,336,569.9098360655738,196837.0,1.0497973333333335,1.112464
2000.0,92,428,618.945652173913,253780.0,1.01512,0.911088
2500.0,118,546,622.4745762711865,327232.0,1.0471423999999998,1.175232
3000.0,112,658,564.9553571428571,390507.0,1.041352,1.0124
3500.0,96,754,632.6354166666666,451240.0,1.0314057142857143,0.971728
4000.0,103,857,687.2621359223301,522028.0,1.044056,1.132608
4500.0,99,956,619.3131313131313,583340.0,1.037048888888889,0.980992
5000.0,119,1075,634.7226890756302,658872.0,1.0541952,1.208512
5500.0,105,1180,609.6761904761905,722888.0,1.0514734545454545,1.024256
6000.0,103,1283,649.1067961165048,789746.0,1.0529946666666667,1.069728
6500.0,95,1378,605.1894736842105,847239.0,1.0427556923076922,0.919888
7000.0,93,1471,626.1827956989247,905474.0,1.0348274285714285,0.9317599999999999
7500.0,101,1572,535.7920792079208,959589.0,1.0235616,0.86584
8000.0,102,1674,589.6274509803922,1019731.0,1.019731,0.962272
8500.0,94,1768,566.9787234042553,1073027.0,1.0099077647058823,0.852736
9000.0,96,1864,610.6979166666666,1131654.0,1.0059146666666667,0.938032
9500.0,114,1978,608.0263157894736,1200969.0,1.0113423157894736,1.10904
10000.0,122,2100,589.8196721311475,1272927.0,1.0183416,1.151328
10500.0,104,2204,585.9711538461538,1333868.0,1.016280380952381,0.975056
11000.0,96,2300,606.2604166666666,1392069.0,1.0124138181818183,0.931216
11500.0,110,2410,670.4090909090909,1465814.0,1.019696695652174,1.17992
12000.0,102,2512,597.9117647058823,1526801.0,1.0178673333333335,0.975792
12500.0,105,2617,637.8857142857142,1593779.0,1.02001856,1.071648
13000.0,99,2716,576.5858585858585,1650861.0,1.0159144615384614,0.9133119999999999
13500.0,106,2822,596.9433962264151,1714137.0,1.015784888888889,1.012416
14000.0,91,2913,633.9120879120879,1771823.0,1.0124702857142858,0.922976
14500.0,100,3013,604.45,1832268.0,1.0109064827586207,0.9671200000000001
15000.0,102,3115,598.656862745098,1893331.0,1.0097765333333333,0.977008
15500.0,113,3228,573.4424778761062,1958130.0,1.0106477419354838,1.036784
16000.0,98,3326,573.1836734693877,2014302.0,1.007151,0.8987519999999999
16500.0,107,3433,597.3457943925233,2078218.0,1.0076208484848486,1.0226559999999998
17000.0,85,3518,613.5411764705882,2130369.0,1.002526588235294,0.834416
17500.0,117,3635,573.5811965811965,2197478.0,1.0045613714285715,1.073744
18000.0,96,3731,630.875,2258042.0,1.0035742222222221,0.969024
18500.0,95,3826,637.6526315789474,2318619.0,1.002646054054054,0.9692320000000001
19000.0,129,3955,616.7364341085271,2398178.0,1.009759157894737,1.272944
19500.0,91,4046,589.2967032967033,2451804.0,1.0058683076923076,0.858016
20000.0,102,4148,567.2058823529412,2509659.0,1.0038636,0.9256800000000002
20500.0,99,4247,577.6363636363636,2566845.0,1.0016956097560976,0.914976
21000.0,114,4361,597.5701754385965,2634968.0,1.0037973333333332,1.089968
21500.0,114,4475,590.4561403508771,2702280.0,1.005499534883721,1.076992
22000.0,107,4582,540.981308411215,2760165.0,1.0036963636363636,0.92616
22500.0,113,4695,571.637168141593,2824760.0,1.0043591111111112,1.03352
23000.0,112,4807,604.9464285714286,2892514.0,1.0060918260869565,1.084064
23500.0,93,4900,580.4408602150538,2946495.0,1.0030621276595746,0.8636960000000001
24000.0,103,5003,579.7378640776699,3006208.0,1.0020693333333335,0.955408
24500.0,100,5103,665.36,3072744.0,1.0033449795918368,1.064576
25000.0,99,5202,617.5656565656566,3133883.0,1.0028425600000002,0.978224
25500.0,86,5288,552.7209302325581,3181417.0,0.9980916078431372,0.7605439999999999
26000.0,85,5373,530.364705882353,3226498.0,0.9927686153846154,0.721296
26500.0,99,5472,581.8686868686868,3284103.0,0.991427320754717,0.92168
27000.0,108,5580,637.2037037037037,3352921.0,0.993458074074074,1.101088
27500.0,110,5690,609.2727272727273,3419941.0,0.9948919272727272,1.07232
28000.0,86,5776,549.7209302325581,3467217.0,0.9906334285714286,0.7564159999999999
28500.0,90,5866,597.4111111111112,3520984.0,0.9883463859649123,0.8602720000000001
29000.0,123,5989,625.1382113821138,3597876.0,0.9925175172413794,1.230272
29500.0,117,6106,573.9316239316239,3665026.0,0.9939053559322033,1.0744
30000.0,88,6194,617.9772727272727,3719408.0,0.9918421333333333,0.870112
30500.0,98,6292,608.3673469387755,3779028.0,0.9912204590163934,0.95392
31000.0,120,6412,574.8166666666667,3848006.0,0.993033806451613,1.103648
31500.0,83,6495,540.3614457831326,3892856.0,0.9886618412698412,0.7176000000000001
32000.0,89,6584,599.1011235955057,3946176.0,0.986544,0.8531200000000001
32500.0,102,6686,601.1078431372549,4007489.0,0.9864588307692307,0.981008
33000.0,120,6806,547.6166666666667,4073203.0,0.9874431515151515,1.051424
33500.0,96,6902,615.1458333333334,4132257.0,0.9868076417910449,0.944864
34000.0,121,7023,661.5371900826447,4212303.0,0.9911301176470588,1.280736
34500.0,113,7136,605.7522123893805,4280753.0,0.9926383768115943,1.0952
35000.0,95,7231,562.6105263157895,4334201.0,0.9906745142857143,0.855168
35500.0,115,7346,579.4434782608696,4400837.0,0.9917379154929578,1.066176
36000.0,110,7456,599.4545454545455,4466777.0,0.9926171111111111,1.05504
36500.0,107,7563,618.2523364485982,4532930.0,0.9935189041095891,1.058448
37000.0,111,7674,619.9009009009009,4601739.0,0.9949705945945946,1.100944
37500.0,111,7785,556.927927927928,4663558.0,0.9948923733333334,0.989104
38000.0,108,7893,584.2314814814815,4726655.0,0.9950852631578947,1.0095520000000002
38500.0,109,8002,581.7706422018349,4790068.0,0.9953388051948052,1.0146080000000002
39000.0,111,8113,568.009009009009,4853117.0,0.9955111794871795,1.008784
39500.0,93,8206,565.989247311828,4905754.0,0.9935704303797468,0.842192
40000.0,112,8318,662.5714285714286,4979962.0,0.9959924,1.187328
40500.0,114,8432,573.8859649122807,5045385.0,0.9966192592592592,1.046768
